,Contratosindefinidos,Contratostemporales,Tasadetemporalidad,fechas,Exportaciones,Competitividad de Espana. Costes totales. Frente a ue28,Competitividad de Espana.Costes laborales relativos unitarios totales.ue28,Competitividad de Espana. Costes totales.Frente a UM19,CostelaboralUnitario.Base2010,Productividad.Laboral,Incremento.Salarial,Paro registrado,Paro registrado.TVI,Parados sector agricola.TVI.,Parados sector industria.TVI,Parados sector construccion.TVI,Parados sector servicios.TVI,Contratos registrados.Total,Contratos registrados.Total.TVI,Contratos indefinidos en porcentaje sobre el total,Contratos a jornada parcial en porcentaje sobre el total,Contratos temporales en porcentaje sobre el total,Indice de Produccion Industrial,Matriculaciones de vehiculos,Viajeros alojados en hoteles tasa de variacion interanual,Viajeros extranjeros en hoteles tasa de variacion interanual
0,5.85,2.48,31.35,2003-03-31,-4.335,102.31,103.6,103.89,81.02,95.85,3.66,2163498.0,3.86,-4.09,0.58,5.26,5.04,1127638.0,12.72,10.27,20.31,89.73,7.33,5.83,10.91,3.59
1,5.34,4.0,31.93,2003-06-30,-1.9469999999999998,103.41,104.35,104.64,82.04,95.74,3.66,2020367.0,2.92,-8.78,1.34,6.94,4.01,1199220.0,11.62,8.29,20.37,91.71,5.9,4.85,5.42,3.38
2,4.71,5.66,32.15,2003-09-30,-0.327,103.69,104.05,104.35,82.88,96.12,3.67,2039630.0,1.64,-11.27,-0.56,5.85,2.7,1283644.0,8.17,8.08,22.36,91.92,4.16,-1.29,2.84,2.07
3,4.29,6.14,32.22,2003-12-31,0.12300000000000001,104.37,104.86,105.2,83.04,96.62,3.68,2181248.0,2.55,-1.38,-1.01,6.96,3.83,1136470.0,18.59,7.94,23.1,92.06,1.41,6.04,6.15,3.1
4,3.63,5.73,31.79,2004-03-31,0.23399999999999999,104.44,103.68,104.33,83.57,97.03,3.58,2181546.0,0.83,-0.02,-3.05,3.46,2.55,1420641.0,25.98,10.2,22.19,89.8,-6.56,7.67,3.39,-1.33
5,3.14,4.29,32.17,2004-06-30,3.0210000000000004,105.05,105.06,105.71,84.47,97.32,3.58,2054113.0,1.67,4.93,-2.48,2.98,3.96,1391623.0,16.04,8.43,22.3,91.57,-0.09,-2.90,6.43,-0.32
6,2.3,7.01,33.14,2004-09-30,1.022,105.12,104.86,105.52,84.84,97.4,3.59,2050514.0,0.53,4.81,-2.87,1.73,2.35,1475755.0,14.97,8.36,24.18,91.64,0.29,-8.57,12.46,3.43
7,3.45,6.94,32.95,2004-12-31,2.194,106.0,105.52,106.2,85.78,97.51,3.6,2112715.0,-3.14,-0.05,-5.32,-5.66,-1.16,1223322.0,7.64,7.49,23.64,92.51,1.5,0.08,6.44,6.9
8,4.47,5.03,31.9,2005-03-31,4.8580000000000005,105.7,105.09,105.72,85.94,97.52,4.06,2144835.0,-1.68,5.07,-0.36,3.59,0.14,1307345.0,-7.97,10.76,22.91,89.24,12.38,-10.45,-1.34,-3.57
9,4.52,10.24,33.35,2005-06-30,2.969,107.09,106.44,107.12,87.37,97.84,4.03,1974860.0,-3.86,10.36,-2.48,-5.48,-2.68,1566969.0,12.6,8.49,22.88,91.51,4.83,-3.90,7.78,7.76
10,4.23,10.52,34.45,2005-09-30,5.457000000000001,107.84,106.21,106.87,88.27,98.28,4.03,2013286.0,-1.82,23.51,-1.95,-4.96,-1.33,1617951.0,9.64,8.58,24.53,91.42,0.57,7.11,3.01,4.59
11,4.07,7.96,33.77,2005-12-31,6.593999999999999,108.09,107.19,107.85,89.06,98.48,4.04,2102937.0,-0.46,29.7,-0.75,-3.01,0.13,1329617.0,8.69,8.16,23.95,91.84,0.85,9.09,2.68,0.69
12,3.56,10.07,33.24,2006-03-31,4.908,108.68,107.0,107.63,89.21,98.93,3.56,2148530.0,0.17,20.27,-3.48,-7.95,0.62,1555516.0,18.98,11.33,22.42,88.67,1.04,-5.91,21.46,19.38
13,2.38,6.92,34.32,2006-06-30,5.454,109.53,108.1,108.83,90.29,99.38,3.57,1959754.0,-0.76,8.76,-3.24,-2.31,0.34,1655753.0,5.67,9.21,22.94,90.79,0.09,-0.25,4.79,6.12
14,3.48,3.91,34.55,2006-09-30,4.475,110.17,107.37,108.17,91.22,99.61,3.59,1966166.0,-2.34,1.28,-4.6,-1.37,-1.21,1674735.0,3.51,11.98,24.92,88.02,-1.32,1.77,5.23,3.98
15,3.99,3.63,33.69,2006-12-31,2.6839999999999997,110.4,107.95,108.77,91.95,100.24,3.59,2022873.0,-3.81,-5.72,-6.36,-3.4,-3.28,1386283.0,4.26,16.96,23.9,83.04,0.21,-16.69,3.84,6.97
16,6.15,-0.5,31.83,2007-03-31,3.25,111.29,106.79,108.0,93.06,100.44,4.23,2059451.0,-4.15,-5.73,-6.7,-3.49,-3.91,1564432.0,0.57,12.35,22.91,87.65,-15.28,1.46,1.39,1.39
17,8.27,-3.64,31.74,2007-06-30,3.63,111.66,107.94,109.17,93.96,100.6,4.19,1965869.0,0.31,1.97,-4.59,4.6,0.13,1582127.0,-4.45,11.27,23.39,88.73,-10.89,-26.48,1.31,1.4
18,7.58,-4.81,31.84,2007-09-30,2.801,112.44,107.39,108.62,95.09,100.66,4.18,2017363.0,2.6,5.91,-2.65,10.78,2.36,1595921.0,-4.71,12.05,25.5,87.95,-4.68,-38.91,2.49,3.28
19,7.15,-6.05,30.82,2007-12-31,1.614,112.81,108.7,109.98,95.75,100.84,4.21,2129547.0,5.27,11.9,-0.77,19.89,4.85,1261319.0,-9.01,10.66,25.29,89.34,-16.0,-42.20,4.09,6.52
20,4.57,-3.98,30.0,2008-03-31,0.87,116.08,107.91,109.19,99.01,100.9,3.54,2300975.0,11.73,18.27,4.54,44.22,9.41,1285644.0,-17.82,13.08,23.63,86.92,-13.48,-46.00,-9.98,-1.06
21,3.97,-7.48,29.27,2008-06-30,1.5319999999999998,115.44,109.09,110.41,99.43,100.59,3.58,2390424.0,21.6,26.18,13.55,70.69,17.73,1419348.0,-10.29,10.85,25.09,89.15,-14.31,-10.72,0.46,1.62
22,2.59,-8.76,29.35,2008-09-30,0.779,115.61,108.22,109.66,100.69,100.16,3.6,2625368.0,30.14,31.36,22.0,85.57,24.29,1501595.0,-5.91,11.55,28.59,88.45,-12.73,26.38,-6.69,-3.6
