"","IE_3_4.1","IE_3_4.2","IE_3_4.3","IE_3_4.4","IE_3_4.5","IE_3_4.6","IE_3_4.7","IE_3_4.8","IE_3_4.9","IE_3_4.10","IE_3_4.11","IE_3_4.12","IE_3_4.13","IE_3_4.14"
"NÚMERO SECUENCIAL",2285792,2293019,2293022,2293026,2293027,2293025,2293020,2293021,2293023,2648814,2648815,2648816,2648817,2648818
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Indicadores de coyuntura industrial. Tipo de Indicador:Índice de producción industrial. Periodo Base:Año base 2010. Magnitud:Índice","IPI BASE 2010. GENERAL. Tasa de variación interanual","IPI BASE 2010. Bienes de consumo.Tasa de variación interanual   ","IPI BASE 2010.Bienes de equipo. Tasa de variación interanual","IPI BASE 2010.Bienes intermedios. Tasa de variación interanual","IPI BASE 2010.Energía. Tasa de variación interanual","IPI BASE 2010. INDUSTRIAS EXTRACTIVAS.Tasa de variación interanual","IPI BASE 2010. Industria manufacturera.Tasa de variación interanual ","IPI BASE 2010.Suministro de energía eléctrica, gas, vapor y aire acondicionado.Tasa de variación interanual  ","Indicadores de Coyuntura Industrial . Índice de producción industrial. Año base 2010. Índice. Total industria excepto construcción. Euro Area (19). Datos corregidos de efecto calendario. ","Indicadores de Coyuntura Industrial . Índice de producción industrial. Año base 2010. Índice. Industria manufacturera (CNAE 2009). Euro Area (19). Datos corregidos de efecto calendario. ","Indicadores de Coyuntura Industrial . Índice de producción industrial. Año base 2010. Índice. Bienes de consumo (CNAE 2009). Euro Area (19). Datos corregidos de efecto calendario. ","Indicadores de Coyuntura Industrial . Índice de producción industrial. Año base 2010. Índice. Bienes de equipo (CNAE 2009). Euro Area (19). Datos corregidos de efecto calendario. ","Indicadores de Coyuntura Industrial . Índice de producción industrial. Año base 2010. Índice. Bienes intermedios. Euro Area (19). Datos corregidos de efecto calendario. "
"DESCRIPCIÓN DE LAS UNIDADES","Céntimos de Base_2010 = 100","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Base_2010 = 100","Céntimos de Base_2010 = 100","Céntimos de Base_2010 = 100","Céntimos de Base_2010 = 100","Céntimos de Base_2010 = 100"
"ENE 1975",66.8,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1975",68.3,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1975",71.6,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1975",70.8,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1975",70.2,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1975",69.7,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1975",66.5,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1975",46.4,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1975",71.9,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1975",77.4,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1975",72.7,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1975",71.0,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1976",67.1,0.36,-6.71,51.45,-5.46,4.90,46.51,-1.22,3.81,"_","_","_","_","_"
"FEB 1976",69.5,1.76,3.70,27.25,2.22,12.87,53.43,-0.17,13.04,"_","_","_","_","_"
"MAR 1976",74.3,3.68,12.97,-0.78,12.33,18.09,61.75,1.76,12.97,"_","_","_","_","_"
"ABR 1976",73.4,3.73,4.04,6.49,7.56,5.35,-10.76,4.21,3.32,"_","_","_","_","_"
"MAY 1976",74.9,6.67,7.01,4.26,11.53,10.85,-8.28,6.99,8.82,"_","_","_","_","_"
"JUN 1976",73.3,5.16,14.29,-5.58,12.28,15.36,-6.11,4.71,14.96,"_","_","_","_","_"
"JUL 1976",74.1,11.55,28.96,-10.56,24.61,23.19,-21.77,13.07,26.03,"_","_","_","_","_"
"AGO 1976",48.6,4.65,-14.94,154.07,-19.79,-13.45,-43.52,12.02,-13.31,"_","_","_","_","_"
"SEP 1976",76.5,6.51,35.02,-32.96,30.75,31.02,-15.61,6.35,37.11,"_","_","_","_","_"
"OCT 1976",78.1,0.93,16.60,-27.50,15.94,34.93,6.41,-1.35,31.48,"_","_","_","_","_"
"NOV 1976",79.4,9.24,21.56,-9.47,16.08,27.45,2.80,7.73,33.73,"_","_","_","_","_"
"DIC 1976",76.4,7.60,16.32,-5.85,12.39,16.59,-2.65,7.23,19.49,"_","_","_","_","_"
"ENE 1977",73.5,9.66,11.23,0.17,14.00,14.43,-15.54,9.19,23.96,"_","_","_","_","_"
"FEB 1977",76.9,10.71,3.99,16.96,11.28,-0.21,-8.39,11.78,4.10,"_","_","_","_","_"
"MAR 1977",84.1,13.25,15.56,4.56,21.76,5.18,0.00,13.97,11.73,"_","_","_","_","_"
"ABR 1977",76.9,4.74,4.09,4.60,7.03,-6.93,-5.51,4.97,4.39,"_","_","_","_","_"
"MAY 1977",81.1,8.33,13.87,-2.80,12.59,2.33,-11.04,8.05,17.72,"_","_","_","_","_"
"JUN 1977",77.1,5.24,-1.17,8.13,4.57,5.08,-14.02,5.89,4.13,"_","_","_","_","_"
"JUL 1977",71.5,-3.56,-7.68,-2.41,3.54,-2.93,-3.91,-3.91,3.61,"_","_","_","_","_"
"AGO 1977",49.3,1.48,30.00,-72.73,51.60,32.55,23.63,-2.93,39.83,"_","_","_","_","_"
"SEP 1977",80.0,4.55,3.59,2.47,10.00,5.53,4.90,4.29,6.55,"_","_","_","_","_"
"OCT 1977",80.0,2.46,-3.69,27.76,-3.75,-15.22,10.88,3.50,-14.46,"_","_","_","_","_"
"NOV 1977",79.5,0.15,5.28,0.58,-0.57,-4.23,16.91,0.00,-7.66,"_","_","_","_","_"
"DIC 1977",80.5,5.34,15.02,-2.64,7.54,4.25,28.72,4.55,0.42,"_","_","_","_","_"
"ENE 1978",77.7,5.71,17.37,-4.81,10.53,6.75,-9.98,6.15,6.31,"_","_","_","_","_"
"FEB 1978",78.0,1.40,8.28,1.36,3.31,4.09,-21.88,1.51,8.87,"_","_","_","_","_"
"MAR 1978",79.9,-4.99,-7.07,18.80,-12.46,-4.53,-21.13,-4.41,-5.48,"_","_","_","_","_"
"ABR 1978",78.7,2.34,21.41,-12.19,9.38,21.84,10.09,1.04,19.05,"_","_","_","_","_"
"MAY 1978",79.4,-2.07,2.20,9.27,-3.84,3.64,3.46,-2.11,-2.81,"_","_","_","_","_"
"JUN 1978",82.4,6.84,26.68,0.34,11.98,4.61,5.01,6.44,13.72,"_","_","_","_","_"
"JUL 1978",74.0,3.52,11.23,12.58,-2.41,1.51,5.57,3.42,1.90,"_","_","_","_","_"
