",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
NÚMERO SECUENCIAL,247386,1626471,1626472,1728449,1728450,1728446,1728451,1728445,1728447,1728448,875278,1626480,903164,903166,903165,2904195,1626481
"DESCRIPCIÓN DE LA SERIE,""MLR. Paro registrado"",""MLR. Paro registrado. Variación interanual"",""MLR. Paro registrado. Tasa de variación interanual"",""MLR. Parados sin empleo anterior. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""MLR. Parados con empleo anterior. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""MLR. Parados sector agrícola. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""MLR. Parados sector no agrícola. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""MLR. Parados sector industria. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""MLR. Parados sector construcción. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""MLR. Parados sector servicios. Tasa de variación interanual. Hasta diciembre de 2008, CNAE 1993. Desde enero de 2009, CNAE 2009"",""Contratos registrados. Total"",""Contratos registrados. Total. Tasa de variación interanual"",""Contratos indefinidos en porcentaje sobre el total"",""Contratos a jornada parcial en porcentaje sobre el total"",""Contratos temporales en porcentaje sobre el total"",""MLR. Colocaciones. Total"",""MLR. Colocaciones. Total. Tasa de variación interanual"""
"DESCRIPCIÓN DE LAS UNIDADES,""Personas"",""Miles de Personas"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Personas"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Unidades"",""Porcentaje"""







