",""IE_4_8.1"",""IE_4_8.2"",""IE_4_8.3"",""IE_4_8.4"",""IE_4_8.5"",""IE_4_8.6"",""IE_4_8.7"",""IE_4_8.8"",""IE_4_8.9"",""IE_4_8.10"",""IE_4_8.11"",""IE_4_8.12"""
NÚMERO SECUENCIAL,2655361,2652447,2655362,2655365,2655363,2652445,2655364,2652446,2405490,2665112,2405484,2665116
"DESCRIPCIÓN DE LA SERIE,""Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Costes laborales unitarios (medidos en puestos d"",""Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Deflactor implícito. Costes laborales unitarios (medidos en puestos de trabajo equivalentes a tiempo completo). Empleos. Economía en su conjunto (Total de la"",""Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Costes laborales unitarios (medidos en puestos d"",""Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Deflactor implícito. Costes laborales unitarios (medidos en puestos de trabajo equivalentes a tiempo completo). Empleos. Economía en su conjunto (Total de la"",""Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Remuneración por asalariado. Tipo de "",""Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Índices de volumen encadenados. Remuneración por asalariado. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Tota"",""Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Productividad laboral (medida en pues"",""Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Índices de volumen encadenados. Productividad laboral (medida en puestos de trabajo equivalentes a tiempo completo). Empleos. Economía en su conjunto (Total "",""CNE.SEC2010.Base2010.Índices de volumen encadenados.PIB. Total economía.Datos corregidos de efectos estacionales y de calendario"",""Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Volúmenes encadenados. Producto interior bruto. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la econo"",""Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Empleo. Operaciones y otros Flujos:Ocupados (puestos de trabajo equivalentes a tiempo completo)."",""Contabilidad Nacional . METODOLOGÍA DEL AÑO SEC2010. Año base 2010. Empleo. Ocupados. Empleos. Economía en su conjunto (Total de la economía). Recursos. Economía en su conjunto (Total de la economía). Euro área (composición v"""
"DESCRIPCIÓN DE LAS UNIDADES,""Porcentaje"",""Porcentaje"",""Porcentaje"",""Porcentaje"",""Base_2010 = 100"",""Base_2010 = 100"",""Base_2010 = 100"",""Base_2010 = 100"",""Base_2010 = 100"",""Millones de Euros"",""Miles de Puestos de trabajo equivalentes a tiempo completo"",""Miles de Personas"""
MAR 1995,66.31,78.90,78.87,93.91,59.18,69.84,89.25,88.52,65.12,1767828.31,13241,120165
JUN 1995,66.91,79.50,80.70,95.75,59.90,70.66,89.52,88.87,65.57,1777973.76,13292,120363
SEP 1995,67.70,79.84,82.42,96.59,60.94,71.16,90.01,89.13,65.88,1785168.43,13283,120527
DIC 1995,67.45,80.39,81.87,97.48,60.95,71.77,90.36,89.28,66.34,1791142.26,13324,120738
MAR 1996,67.64,80.67,80.81,97.46,61.60,72.06,91.07,89.32,66.77,1792112.82,13305,120814
JUN 1996,68.44,80.65,83.25,97.16,62.44,72.38,91.23,89.75,67.20,1804878.98,13366,121073
SEP 1996,69.35,80.98,84.64,97.60,63.26,72.96,91.23,90.09,67.85,1816079.54,13497,121402
DIC 1996,69.78,81.09,84.36,96.94,63.28,73.28,90.68,90.38,68.12,1823249.31,13633,121574
