DESCRIPCIÓN DE LAS UNIDADES;Competitividad Frente a UM19. Tasa de Variacion Interanual;Tasa de Paro, Variacion Interanual;Viajeros alojados en hoteles ;Valor de las exportaciones tasa de variación interanual;Coste Laboral Unitario tasa de Variacion interanual;Cemento
jueves, 1 de marzo de 2001;-0,006875552;-3,71;2.10;0,096181508;0,036755416;0,193842076
viernes, 1 de junio de 2001;-0,007933399;-3,01;1.85;0,0064974;0,035311783;0,171517197
sábado, 1 de septiembre de 2001;0,001078643;0,35;-0.32;0,004682646;0,043767511;-0,108080169
sábado, 1 de diciembre de 2001;-0,003117997;2,86;-3.97;-0,09114026;0,044159884;-0,315061694
viernes, 1 de marzo de 2002;-0,006634794;7,83;9.77;-0,078188182;0,046185997;-0,03725201
sábado, 1 de junio de 2002;-0,01618809;6,87;-3.19;-0,067331007;0,043964163;-0,042176604
domingo, 1 de septiembre de 2002;-0,014019143;6,37;-1.30;0,031170503;0,042849095;-0,11677184
domingo, 1 de diciembre de 2002;-0,01714231;5,31;5.24;0,099825638;0,04342609;-0,31265226
sábado, 1 de marzo de 2003;-0,013475792;2,16;-7.44;0,10747139;0,055941696;0,215760437
domingo, 1 de junio de 2003;-0,008218654;1,74;9.04;0,091545354;0,048209699;0,059775315
lunes, 1 de septiembre de 2003;-0,008816483;1,55;3.72;0,112822734;0,03853039;-0,087276305
lunes, 1 de diciembre de 2003;-0,007414449;2,17;5.55;0,089897585;0,040186142;-0,24198537
lunes, 1 de marzo de 2004;-0,004217387;2,75;7.10;0,067738297;0,039447437;0,259983107
martes, 1 de junio de 2004;-0,010122032;0,91;3.96;0,120244546;0,034209236;0,145540327
miércoles, 1 de septiembre de 2004;-0,011087945;-0,99;7.34;0,033759581;0,023382478;-0,03237132
miércoles, 1 de diciembre de 2004;-0,009416196;-2,51;8.06;0,067142704;0,025451241;-0,143560194
martes, 1 de marzo de 2005;-0,013147938;-3,07;10.81;-0,014909493;0,023480348;0,266238578
miércoles, 1 de junio de 2005;-0,013162808;-1,23;6.84;0,037964639;0,035485961;0,015066062
jueves, 1 de septiembre de 2005;-0,01263217;-1,11;6.38;0,116743645;0,024432905;0,021642155
jueves, 1 de diciembre de 2005;-0,015299026;-0,23;3.93;0,076149462;0,028748287;-0,12319884
miércoles, 1 de marzo de 2006;-0,017745982;-0,97;1.03;0,199083484;0,04379509;0,338247297
jueves, 1 de junio de 2006;-0,015712579;-1,73;7.94;0,118619838;0,052838542;0,233698099
viernes, 1 de septiembre de 2006;-0,01201812;-2,92;3.17;0,042656008;0,047247963;-0,049906631
viernes, 1 de diciembre de 2006;-0,008458215;-4,1;5.73;0,09385915;0,047479273;-0,183578795
jueves, 1 de marzo de 2007;-0,003425926;-2,53;6.73;0,055154344;0,039553084;0,158510648
viernes, 1 de junio de 2007;-0,003114409;0,79;4.89;0,060400894;0,037819711;0,150576487
sábado, 1 de septiembre de 2007;-0,004142883;2,8;2.39;0,057520349;0,041409647;-0,133501863
sábado, 1 de diciembre de 2007;-0,011002;8,62;2.11;-0,02355617;0,042758124;-0,30662023
sábado, 1 de marzo de 2008;-0,010898434;15,59;7.52;-0,025779769;0,045880162;-0,060978055
domingo, 1 de junio de 2008;-0,011230867;23,17;-3.22;-0,040082944;0,047768033;-0,212755094
lunes, 1 de septiembre de 2008;-0,009483859;37,56;-3.04;0,160190261;0,048233074;-0,169648807
lunes, 1 de diciembre de 2008;0,001730577;47,12;-9.33;-0,074201862;0,050457168;-0,364831129
domingo, 1 de marzo de 2009;0,006823421;55,86;-19.82;-0,136468644;0,041950578;0,362077644
lunes, 1 de junio de 2009;0,00812637;46,03;-8.20;-0,101402812;0,039687525;0,158561488
martes, 1 de septiembre de 2009;0,005040785;35,14;-6.53;-0,197755929;0,033503959;-0,079170112
martes, 1 de diciembre de 2009;-0,001091802;21,66;2.16;0,039506168;0,025276529;-0,36401801
lunes, 1 de marzo de 2010;-0,013283596;13,65;7.31;0,214239855;0,010477189;0,429469466
martes, 1 de junio de 2010;-0,008060864;10,28;5.99;0,166040945;0,011543185;0,138102578
miércoles, 1 de septiembre de 2010;-0,011057736;7,29;6.53;0,146406095;-0,003054868;-0,111345614
miércoles, 1 de diciembre de 2010;-0,008032491;4,51;3.83;0,167969365;-0,002627278;-0,277883767
martes, 1 de marzo de 2011;-0,007674251;3,06;1.03;0,179725627;0,008308632;0,374176161
miércoles, 1 de junio de 2011;-0,003969328;4,38;8.31;0,108021131;0,008409261;0,028427938
jueves, 1 de septiembre de 2011;-0,000634058;6,73;6.01;0,118081258;0,014627358;-0,069671747
